Image;Jaccard Index Axial;Jaccard Index Coronal;Jaccard Index Sagittal;Panoptic Quality Axial;Panoptic Quality Coronal;Panoptic Quality Sagittal;Dice Coefficient Axial;Dice Coefficient Coronal;Dice Coefficient Sagittal
BraTS20_Training_222;0.8162484765052795;0.6094246506690979;0.6621852517127991;0.7423372585671097;0.7420731313280525;0.7418857956305862;0.778031561461794;0.3781805803761382;0.5111957349581112
BraTS20_Training_223;0.8298472762107849;0.8147459030151367;0.7013772130012512;0.7419742987716763;0.7420178322012886;0.7417304001319813;0.8006435718236211;0.7839368457182083;0.610280353723347
BraTS20_Training_224;0.0;0.0;0.632343590259552;0.0;0.0;0.7411724566790188;0.0;0.0;0.4937326355236803
BraTS20_Training_225;0.7688688039779663;0.8226605653762817;0.735777735710144;0.7412286581479024;0.7413555314667049;0.7412709094139877;0.7271611083457773;0.8062927825147111;0.7046235618999801
BraTS20_Training_226;0.8221205472946167;0.7785882949829102;0.71504807472229;0.7413452199384172;0.7413748698797259;0.7411380297844088;0.7956367657777667;0.7319429905789516;0.6322293169185539
BraTS20_Training_227;0.5601832866668701;0.0;0.6466670036315918;0.7409613908869377;0.0;0.7407851099706801;0.22661503973914815;0.0;0.46611011727290796
BraTS20_Training_228;0.8766822218894958;0.8428788185119629;0.8266851902008057;0.7408832700868613;0.7410288304469732;0.7410968721232944;0.8618313561128081;0.8183505701405462;0.7959876704456402
BraTS20_Training_229;0.8841751217842102;0.7302858829498291;0.0;0.7412428146068528;0.7410930506648288;0.0;0.8737308347529813;0.6590893984712529;0.0
BraTS20_Training_230;0.8835923671722412;0.707309365272522;0.8169492483139038;0.7412130952805289;0.7409692074012163;0.7410689057891452;0.8703427719821163;0.612423042460329;0.7827761081893313
BraTS20_Training_231;0.8489611148834229;0.6621246337890625;0.6960971355438232;0.7411817156525671;0.7409143374112136;0.7406692682217646;0.8289600219810414;0.5401141796614957;0.6032531113657841
BraTS20_Training_233;0.7655231356620789;0.49037402868270874;0.0;0.7406328656982373;0.7403007818129825;0.0;0.6952899711630888;0.0;0.0
BraTS20_Training_235;0.8759651184082031;0.5813899040222168;0.0;0.7405361988317021;0.7398729381748692;0.0;0.8683943976808355;0.37716732072779163;0.0
BraTS20_Training_236;0.6313158273696899;0.0;0.0;0.7395797475929581;0.0;0.0;0.4479564032697548;0.0;0.0
BraTS20_Training_237;0.0;0.0;0.5512514114379883;0.0;0.0;0.7391344174679897;0.0;0.0;0.24691167387276097
BraTS20_Training_238;0.9107792377471924;0.0;0.4479960799217224;0.7394445309428507;0.0;0.7389030965182173;0.9082630385487528;0.0;0.0
BraTS20_Training_240;0.0;0.0;0.5409229397773743;0.0;0.0;0.7384533888367053;0.0;0.0;0.223638631010115
BraTS20_Training_241;0.7982988357543945;0.0;0.0;0.7385762997102455;0.0;0.0;0.7601514710166035;0.0;0.0
BraTS20_Training_242;0.7882481813430786;0.0;0.0;0.738670423657455;0.0;0.0;0.7411956385511969;0.0;0.0
