Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask
BraTS20_Training_091;Coronal;True;0.20958861977391358;18519.0;10684.0
BraTS20_Training_091;Axial;True;0.11383202834633577;14216.0;7269.0
BraTS20_Training_091;Sagittal;True;0.10015454415332362;17173.0;10142.5
BraTS20_Training_092;Coronal;True;0.3991176149503076;30919.0;13899.5
BraTS20_Training_092;Axial;False;0.0;0.0;0.0
BraTS20_Training_092;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_093;Coronal;True;0.06420969895776191;17342.5;11866.5
BraTS20_Training_093;Axial;True;0.23202549187850086;13051.0;8243.5
BraTS20_Training_093;Sagittal;True;0.42681727446490414;21517.0;12457.0
BraTS20_Training_094;Coronal;True;0.07115453202436425;2255.5;1537.5
BraTS20_Training_094;Axial;True;0.024964441887578098;1574.0;1090.5
BraTS20_Training_094;Sagittal;True;0.05968293906768399;1974.0;1562.0
BraTS20_Training_095;Coronal;False;0.0;0.0;0.0
BraTS20_Training_095;Axial;True;0.47955377326942195;19536.0;2732.5
BraTS20_Training_095;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_096;Coronal;False;0.0;0.0;0.0
BraTS20_Training_096;Axial;False;0.0;0.0;0.0
BraTS20_Training_096;Sagittal;True;0.28507025819222415;22749.0;11122.0
BraTS20_Training_097;Coronal;True;1.0002031258119974;21471.5;10799.0
BraTS20_Training_097;Axial;False;0.0;0.0;0.0
BraTS20_Training_097;Sagittal;True;0.2299817123024904;42208.5;27908.5
BraTS20_Training_098;Coronal;True;0.04947027786416028;18773.0;14391.0
BraTS20_Training_098;Axial;True;0.37803029007791383;14788.0;5093.0
BraTS20_Training_098;Sagittal;True;0.061859486796151164;20813.0;13202.0
BraTS20_Training_099;Coronal;True;1.0170751611447475;1372.0;1825.5
BraTS20_Training_099;Axial;True;0.3839016058224339;2182.5;1203.0
BraTS20_Training_099;Sagittal;True;0.4654543183313029;3601.0;2696.0
BraTS20_Training_100;Coronal;False;0.0;0.0;0.0
BraTS20_Training_100;Axial;False;0.0;0.0;0.0
BraTS20_Training_100;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_101;Coronal;True;0.17433856404839349;14645.5;5986.0
BraTS20_Training_101;Axial;True;0.15309939982105925;12134.0;7393.0
BraTS20_Training_101;Sagittal;True;0.059279398002158784;19918.0;10729.5
BraTS20_Training_102;Coronal;True;6.205189439443044;8353.5;4075.0
BraTS20_Training_102;Axial;True;1.4811240981948268;8846.0;2567.0
BraTS20_Training_102;Sagittal;True;1.5805963380272807;14136.0;1681.5
BraTS20_Training_103;Coronal;True;0.8078115203099976;23188.0;9035.5
BraTS20_Training_103;Axial;True;0.4548589067156755;16565.0;8580.5
BraTS20_Training_103;Sagittal;True;0.174736055190846;29649.5;16820.5
BraTS20_Training_104;Coronal;True;0.23161928210438676;26027.5;19224.5
BraTS20_Training_104;Axial;True;1.0428504474269056;20454.5;9336.0
BraTS20_Training_104;Sagittal;True;0.2522326097182238;32948.5;20157.5
BraTS20_Training_105;Coronal;True;0.27028588045545265;7142.5;5286.5
BraTS20_Training_105;Axial;True;0.076902233552709;4912.0;4273.5
BraTS20_Training_105;Sagittal;True;0.1676965093118671;8184.5;5593.0
BraTS20_Training_106;Coronal;False;0.0;0.0;0.0
BraTS20_Training_106;Axial;True;0.3474939131650126;21281.5;6758.0
BraTS20_Training_106;Sagittal;True;0.2117001335309901;41849.0;12855.5
BraTS20_Training_107;Coronal;True;0.039412334222916956;8844.5;7283.5
BraTS20_Training_107;Axial;True;0.28969272548875863;9335.5;4428.0
BraTS20_Training_107;Sagittal;True;0.15488202010642832;10327.5;5366.0
BraTS20_Training_108;Coronal;True;0.8554976372610934;9320.5;7152.5
BraTS20_Training_108;Axial;True;0.12405485971988267;9944.0;4654.5
BraTS20_Training_108;Sagittal;True;0.077354168780109;14327.5;5664.0
BraTS20_Training_109;Coronal;True;0.44695544940364296;21079.0;15525.0
BraTS20_Training_109;Axial;True;0.08836641058269287;11676.0;10231.5
