X;Y;Mean;Standard Deviation
312;230;49,26164644714038;44,99024868804256
312;231;49,30157409333611;45,00090719737381
312;232;49,28931701813764;44,94665305298255
312;266;50,54087279349958;45,30868886986228
312;269;50,63034739410536;45,271961234895045
312;271;50,79089393806474;45,38533827295945
312;499;50,44759675967597;46,19445319435663
313;218;49,05325115989197;44,97305593329288
313;233;49,44635200583262;45,019062501606065
313;234;49,478486595360465;45,02595625619158
313;235;49,50813721233174;45,03042555887413
313;266;50,63830719355121;45,343373229683756
313;269;50,78944875258781;45,38505352944964
313;272;50,957965768108814;45,43178999897275
313;498;50,46904727587201;46,25753793628817
314;202;48,86352615171458;44,94698385397754
314;203;48,87493722617625;44,9488783215551
314;204;48,888277056277055;44,95122265764021
314;205;48,8982044222811;44,95157425395114
314;206;48,9131074600509;44,956234839644374
314;218;49,12461684994372;44,97963350455747
314;236;49,618504546165745;45,04914775505766
314;237;49,64721531533098;45,05783627388175
314;266;50,73787225086814;45,36631070925402
314;269;50,89315819050295;45,415091332780605
314;272;51,07099248728821;45,46452430180989
314;497;50,49444564668542;46,316161492837765
314;498;50,49446487811914;46,31328870577237
315;201;48,8941681673362;44,95317420957956
315;207;48,97013607562065;44,95811012356882
315;208;48,987761178527535;44,96335311902902
315;219;49,219465285117735;44,986933696713315
315;238;49,73697581346789;45,077801800664936
315;239;49,76160888331941;45,08173557163833
315;240;49,79330513342733;45,09901329647932
315;241;49,819264521521106;45,10458701865598
315;242;49,84855714808171;45,112732336332115
315;243;49,85178020599153;45,09256214591745
315;244;49,90770973081279;45,132475702876334
315;245;49,93619505733905;45,140906925918955
315;246;49,96600833231649;45,15046357820742
315;247;49,988490513392854;45,15023486331518
315;248;50,02733203097746;45,16501952324751
315;249;50,06948951463764;45,18070193342228
315;250;50,11124103387494;45,19070027982346
315;251;50,15201941713667;45,198729151229195
315;252;50,198029831976804;45,21339827937144
315;266;50,83497735809316;45,398498907365905
315;269;51,000228563391175;45,440998524150224
315;272;51,1761545777997;45,49947773698103
315;490;50,57113413245105;46,461271808168405
315;491;50,56256891347179;46,447409613063236
315;492;50,5585030448689;46,43723506976988
315;493;50,541467909800524;46,41392191074725
315;494;50,54144165297018;46,4089298195236
315;495;50,52701628923322;46,388512818308875
315;496;50,525914826783165;46,38002043885513
316;200;48,92525969529086;44,95621645511191
316;208;49,04970223668721;44,97212978417031
316;220;49,28931701813764;44,94665305298255
316;253;50,334324182549395;45,25012604021704
316;266;50,9373660353491;45,42612112246927
316;267;50,995024875621894;45,44073492458538
316;268;51,05046613896218;45,45855607433203
316;271;51,22234558110847;45,51615451565228
316;489;50,60900336675959;46,529067039890265
317;199;48,95374201478455;44,95714814164391
317;208;49,11544256446669;44,97675220894417
317;221;49,4336023604964;45,0169304349924
317;254;50,467751815874685;45,28727055854522
